zipcode	zone	trange zone-title
97476	9b	25 to 30	9b: 25 to 30
32114	9b	25 to 30	9b: 25 to 30
98595	9a	20 to 25	9a: 20 to 25
29401	9a	20 to 25	9a: 20 to 25
98687	8b	15 to 20	8b: 15 to 20
27915	8b	15 to 20	8b: 15 to 20
98675	8a	10 to 15	8a: 10 to 15
21817	8a	10 to 15	8a: 10 to 15
33001	11a	40 to 45	11a: 40 to 45
95044	10b	35 to 40	10b: 35 to 40
33002	10b	35 to 40	10b: 35 to 40
95525	10a	30 to 35	10a: 30 to 35
32903	10a	30 to 35	10a: 30 to 35
92276	9b	25 to 30	9b: 25 to 30
92275	9b	25 to 30	9b: 25 to 30
92274	9b	25 to 30	9b: 25 to 30
92270	9b	25 to 30	9b: 25 to 30
92264	9b	25 to 30	9b: 25 to 30
92263	9b	25 to 30	9b: 25 to 30
92262	9b	25 to 30	9b: 25 to 30
92260	9b	25 to 30	9b: 25 to 30
92259	9b	25 to 30	9b: 25 to 30
92258	9b	25 to 30	9b: 25 to 30
92257	9b	25 to 30	9b: 25 to 30
92255	9b	25 to 30	9b: 25 to 30
92254	9b	25 to 30	9b: 25 to 30
92253	9b	25 to 30	9b: 25 to 30
92248	9b	25 to 30	9b: 25 to 30
92247	9b	25 to 30	9b: 25 to 30
92242	9b	25 to 30	9b: 25 to 30
92241	9b	25 to 30	9b: 25 to 30
92240	9b	25 to 30	9b: 25 to 30
92236	9b	25 to 30	9b: 25 to 30
92235	9b	25 to 30	9b: 25 to 30
92234	9b	25 to 30	9b: 25 to 30
92233	9b	25 to 30	9b: 25 to 30
92227	9b	25 to 30	9b: 25 to 30
92226	9b	25 to 30	9b: 25 to 30
92225	9b	25 to 30	9b: 25 to 30
92211	9b	25 to 30	9b: 25 to 30
92210	9b	25 to 30	9b: 25 to 30
92203	9b	25 to 30	9b: 25 to 30
92202	9b	25 to 30	9b: 25 to 30
92201	9b	25 to 30	9b: 25 to 30
92159	9b	25 to 30	9b: 25 to 30
92145	9b	25 to 30	9b: 25 to 30
92127	9b	25 to 30	9b: 25 to 30
92082	9b	25 to 30	9b: 25 to 30
92064	9b	25 to 30	9b: 25 to 30
92061	9b	25 to 30	9b: 25 to 30
92059	9b	25 to 30	9b: 25 to 30
92046	9b	25 to 30	9b: 25 to 30
92033	9b	25 to 30	9b: 25 to 30
92030	9b	25 to 30	9b: 25 to 30
92027	9b	25 to 30	9b: 25 to 30
92004	9b	25 to 30	9b: 25 to 30
92117	10a	30 to 35	10a: 30 to 35
92118	10b	35 to 40	10b: 35 to 40
92119	10a	30 to 35	10a: 30 to 35
92120	10a	30 to 35	10a: 30 to 35
92121	10a	30 to 35	10a: 30 to 35
92122	10a	30 to 35	10a: 30 to 35
92123	10a	30 to 35	10a: 30 to 35
92124	10a	30 to 35	10a: 30 to 35
92126	10a	30 to 35	10a: 30 to 35
92127	9b	25 to 30	9b: 25 to 30
92128	10a	30 to 35	10a: 30 to 35
92129	10a	30 to 35	10a: 30 to 35
92130	10a	30 to 35	10a: 30 to 35
92131	10a	30 to 35	10a: 30 to 35
92132	10b	35 to 40	10b: 35 to 40
92134	10b	35 to 40	10b: 35 to 40
92135	10b	35 to 40	10b: 35 to 40
92136	10b	35 to 40	10b: 35 to 40
92137	10b	35 to 40	10b: 35 to 40
92138	10b	35 to 40	10b: 35 to 40
92139	10a	30 to 35	10a: 30 to 35
92140	10b	35 to 40	10b: 35 to 40
92142	10a	30 to 35	10a: 30 to 35
92143	10a	30 to 35	10a: 30 to 35
92145	9b	25 to 30	9b: 25 to 30
92147	10b	35 to 40	10b: 35 to 40
92149	10a	30 to 35	10a: 30 to 35
92150	10a	30 to 35	10a: 30 to 35
92152	10b	35 to 40	10b: 35 to 40
92153	10b	35 to 40	10b: 35 to 40
92154	10b	35 to 40	10b: 35 to 40
92155	10b	35 to 40	10b: 35 to 40
92158	10a	30 to 35	10a: 30 to 35
92159	9b	25 to 30	9b: 25 to 30
92220	9a	20 to 25	9a: 20 to 25
92223	9a	20 to 25	9a: 20 to 25
92230	9a	20 to 25	9a: 20 to 25
92252	9a	20 to 25	9a: 20 to 25
92256	9a	20 to 25	9a: 20 to 25
92261	9a	20 to 25	9a: 20 to 25
92277	9a	20 to 25	9a: 20 to 25
92278	9a	20 to 25	9a: 20 to 25
92285	9a	20 to 25	9a: 20 to 25
